OAT,OAH,CDU1,CDU2,CDU3,CDU4,Fan,SAT
23.78333333333333,64.0,0.0,0.0,0.0,0.0,0.0,26.95781256481989
23.6,64.0,0.0,0.0,0.0,0.0,0.0,27.44454708457889
23.5,64.66666666666667,1.0,1.0,1.0,1.0,1.0,11.72563378464666
23.4,65.33333333333334,1.0,1.0,1.0,1.0,1.0,11.69233033982912
23.3,66.0,1.0,1.0,1.0,1.0,1.0,11.65825810001743
23.2,66.66666666666666,1.0,1.0,0.0,0.0,1.0,17.31850678035263
23.1,67.33333333333334,1.0,1.0,0.0,0.0,1.0,17.26265854348538
23.0,68.0,1.0,1.0,0.0,0.0,1.0,17.20637491916094
22.9,68.66666666666667,0.0,0.0,0.0,0.0,1.0,23.71646957828222
22.8,69.33333333333334,0.0,0.0,0.0,0.0,1.0,23.61640461125577
22.7,70.0,0.0,0.0,0.0,0.0,1.0,23.51634121604275
22.6,70.66666666666667,1.0,1.0,1.0,1.0,1.0,11.39875892911377
22.5,71.33333333333333,1.0,1.0,1.0,1.0,1.0,11.35876088676807
22.4,72.0,1.0,1.0,1.0,1.0,1.0,11.31804707756406
22.3,72.83333333333333,0.0,0.0,0.0,0.0,0.0,18.25178581648846
22.2,73.66666666666667,0.0,0.0,0.0,0.0,0.0,22.35630801605473
22.1,74.5,0.0,0.0,0.0,0.0,0.0,23.34372702083315
22.0,75.33333333333333,0.0,0.0,0.0,0.0,0.0,23.50720466369742
21.9,76.16666666666667,0.0,0.0,0.0,0.0,0.0,24.0608451283775
21.8,77.0,0.0,0.0,0.0,0.0,0.0,24.94093514045543
21.73333333333333,77.5,1.0,1.0,1.0,1.0,1.0,11.1516406842601
21.66666666666667,78.0,1.0,1.0,1.0,1.0,1.0,11.12841052518796
21.6,78.5,1.0,1.0,1.0,1.0,1.0,11.10484917614118
21.53333333333333,79.0,0.0,0.0,0.0,0.0,0.0,17.52812587865372
21.46666666666667,79.5,0.0,0.0,0.0,0.0,0.0,21.6021144069576
21.4,80.0,0.0,0.0,0.0,0.0,0.0,22.58600739906106
21.33333333333333,80.83333333333334,1.0,0.0,0.0,0.0,1.0,19.13679176126995
21.26666666666667,81.66666666666667,1.0,0.0,0.0,0.0,1.0,19.09903960713957
21.2,82.5,1.0,0.0,0.0,0.0,1.0,19.06106954098261
21.13333333333333,83.33333333333334,1.0,1.0,1.0,1.0,1.0,11.21644758225494
21.06666666666667,84.16666666666667,1.0,1.0,1.0,1.0,1.0,11.25725346616677
21.0,85.0,1.0,1.0,1.0,1.0,1.0,11.29723177239908
20.93333333333333,85.66666666666667,1.0,1.0,1.0,0.0,1.0,13.61600425808118
20.86666666666667,86.33333333333334,1.0,1.0,1.0,0.0,1.0,13.59744805523578
20.8,87.0,1.0,1.0,1.0,0.0,1.0,13.58696559384411
20.73333333333333,87.66666666666666,0.0,0.0,0.0,0.0,0.0,17.90790933901888
20.66666666666667,88.33333333333334,0.0,0.0,0.0,0.0,0.0,19.63879181753186
